#   time    x   y   vx  vy
  1.01000000e+00   3.18256605e+01   2.75855905e+01   2.84148417e+01   1.84692931e+01
  1.02000000e+00   3.21095617e+01   2.77695985e+01   2.83654146e+01   1.83323058e+01
  1.03000000e+00   3.23929701e+01   2.79522387e+01   2.83162607e+01   1.81957400e+01
  1.04000000e+00   3.26758883e+01   2.81335154e+01   2.82673776e+01   1.80595922e+01
  1.05000000e+00   3.29583190e+01   2.83134327e+01   2.82187632e+01   1.79238588e+01
  1.06000000e+00   3.32402649e+01   2.84919946e+01   2.81704150e+01   1.77885362e+01
  1.07000000e+00   3.35217286e+01   2.86692054e+01   2.81223310e+01   1.76536208e+01
  1.08000000e+00   3.38027128e+01   2.88450691e+01   2.80745089e+01   1.75191092e+01
  1.09000000e+00   3.40832201e+01   2.90195896e+01   2.80269465e+01   1.73849979e+01
  1.10000000e+00   3.43632530e+01   2.91927710e+01   2.79796417e+01   1.72512835e+01
  1.11000000e+00   3.46428142e+01   2.93646172e+01   2.79325924e+01   1.71179626e+01
  1.12000000e+00   3.49219062e+01   2.95351322e+01   2.78857964e+01   1.69850319e+01
  1.13000000e+00   3.52005314e+01   2.97043198e+01   2.78392515e+01   1.68524879e+01
  1.14000000e+00   3.54786924e+01   2.98721839e+01   2.77929558e+01   1.67203275e+01
  1.15000000e+00   3.57563917e+01   3.00387283e+01   2.77469072e+01   1.65885474e+01
  1.16000000e+00   3.60336318e+01   3.02039567e+01   2.77011036e+01   1.64571444e+01
  1.17000000e+00   3.63104150e+01   3.03678730e+01   2.76555429e+01   1.63261153e+01
  1.18000000e+00   3.65867439e+01   3.05304809e+01   2.76102233e+01   1.61954569e+01
  1.19000000e+00   3.68626207e+01   3.06917840e+01   2.75651426e+01   1.60651661e+01
  1.20000000e+00   3.71380479e+01   3.08517860e+01   2.75202990e+01   1.59352398e+01
  1.21000000e+00   3.74130278e+01   3.10104906e+01   2.74756904e+01   1.58056750e+01
  1.22000000e+00   3.76875629e+01   3.11679013e+01   2.74313149e+01   1.56764687e+01
  1.23000000e+00   3.79616553e+01   3.13240218e+01   2.73871706e+01   1.55476178e+01
  1.24000000e+00   3.82353074e+01   3.14788554e+01   2.73432557e+01   1.54191194e+01
  1.25000000e+00   3.85085216e+01   3.16324059e+01   2.72995681e+01   1.52909705e+01
  1.26000000e+00   3.87812999e+01   3.17846766e+01   2.72561060e+01   1.51631683e+01
  1.27000000e+00   3.90536448e+01   3.19356710e+01   2.72128676e+01   1.50357098e+01
  1.28000000e+00   3.93255584e+01   3.20853925e+01   2.71698511e+01   1.49085922e+01
  1.29000000e+00   3.95970429e+01   3.22338445e+01   2.71270546e+01   1.47818128e+01
  1.30000000e+00   3.98681006e+01   3.23810304e+01   2.70844762e+01   1.46553687e+01
  1.31000000e+00   4.01387335e+01   3.25269535e+01   2.70421143e+01   1.45292571e+01
  1.32000000e+00   4.04089439e+01   3.26716172e+01   2.69999670e+01   1.44034753e+01
  1.33000000e+00   4.06787339e+01   3.28150247e+01   2.69580326e+01   1.42780206e+01
  1.34000000e+00   4.09481056e+01   3.29571792e+01   2.69163092e+01   1.41528904e+01
  1.35000000e+00   4.12170612e+01   3.30980841e+01   2.68747953e+01   1.40280819e+01
  1.36000000e+00   4.14856026e+01   3.32377425e+01   2.68334890e+01   1.39035926e+01
  1.37000000e+00   4.17537320e+01   3.33761575e+01   2.67923886e+01   1.37794199e+01
  1.38000000e+00   4.20214514e+01   3.35133324e+01   2.67514926e+01   1.36555611e+01
  1.39000000e+00   4.22887628e+01   3.36492703e+01   2.67107991e+01   1.35320138e+01
  1.40000000e+00   4.25556684e+01   3.37839743e+01   2.66703065e+01   1.34087754e+01
  1.41000000e+00   4.28221700e+01   3.39174474e+01   2.66300132e+01   1.32858434e+01
  1.42000000e+00   4.30882696e+01   3.40496927e+01   2.65899175e+01   1.31632153e+01
  1.43000000e+00   4.33539693e+01   3.41807132e+01   2.65500178e+01   1.30408888e+01
  1.44000000e+00   4.36192709e+01   3.43105119e+01   2.65103125e+01   1.29188613e+01
  1.45000000e+00   4.38841765e+01   3.44390919e+01   2.64708000e+01   1.27971305e+01
  1.46000000e+00   4.41486879e+01   3.45664560e+01   2.64314787e+01   1.26756941e+01
  1.47000000e+00   4.44128070e+01   3.46926072e+01   2.63923471e+01   1.25545496e+01
