#   time    x   y   vx  vy
  9.60000000e-01   3.23574540e+01   2.38835300e+01   2.99321991e+01   1.66189889e+01
  9.70000000e-01   3.26564568e+01   2.40490527e+01   2.98683683e+01   1.64855487e+01
  9.80000000e-01   3.29548231e+01   2.42132430e+01   2.98048977e+01   1.63525167e+01
  9.90000000e-01   3.32525566e+01   2.43761050e+01   2.97417842e+01   1.62198894e+01
  1.00000000e+00   3.35496606e+01   2.45376428e+01   2.96790250e+01   1.60876632e+01
  1.01000000e+00   3.38461388e+01   2.46978603e+01   2.96166168e+01   1.59558345e+01
  1.02000000e+00   3.41419947e+01   2.48567615e+01   2.95545568e+01   1.58243999e+01
  1.03000000e+00   3.44372317e+01   2.50143502e+01   2.94928419e+01   1.56933559e+01
  1.04000000e+00   3.47318532e+01   2.51706305e+01   2.94314693e+01   1.55626991e+01
  1.05000000e+00   3.50258628e+01   2.53256061e+01   2.93704360e+01   1.54324261e+01
  1.06000000e+00   3.53192636e+01   2.54792809e+01   2.93097393e+01   1.53025335e+01
  1.07000000e+00   3.56120592e+01   2.56316587e+01   2.92493761e+01   1.51730181e+01
  1.08000000e+00   3.59042528e+01   2.57827432e+01   2.91893437e+01   1.50438765e+01
  1.09000000e+00   3.61958477e+01   2.59325381e+01   2.91296394e+01   1.49151055e+01
  1.10000000e+00   3.64868472e+01   2.60810471e+01   2.90702603e+01   1.47867019e+01
  1.11000000e+00   3.67772545e+01   2.62282739e+01   2.90112037e+01   1.46586626e+01
  1.12000000e+00   3.70670729e+01   2.63742222e+01   2.89524668e+01   1.45309842e+01
  1.13000000e+00   3.73563055e+01   2.65188954e+01   2.88940471e+01   1.44036639e+01
  1.14000000e+00   3.76449554e+01   2.66622972e+01   2.88359418e+01   1.42766984e+01
  1.15000000e+00   3.79330259e+01   2.68044311e+01   2.87781482e+01   1.41500848e+01
  1.16000000e+00   3.82205199e+01   2.69453007e+01   2.87206638e+01   1.40238200e+01
  1.17000000e+00   3.85074407e+01   2.70849093e+01   2.86634860e+01   1.38979010e+01
  1.18000000e+00   3.87937912e+01   2.72232604e+01   2.86066122e+01   1.37723249e+01
  1.19000000e+00   3.90795744e+01   2.73603575e+01   2.85500398e+01   1.36470888e+01
  1.20000000e+00   3.93647934e+01   2.74962039e+01   2.84937663e+01   1.35221897e+01
  1.21000000e+00   3.96494512e+01   2.76308029e+01   2.84377892e+01   1.33976249e+01
  1.22000000e+00   3.99335507e+01   2.77641580e+01   2.83821060e+01   1.32733914e+01
  1.23000000e+00   4.02170948e+01   2.78962724e+01   2.83267144e+01   1.31494865e+01
  1.24000000e+00   4.05000864e+01   2.80271494e+01   2.82716117e+01   1.30259074e+01
  1.25000000e+00   4.07825285e+01   2.81567922e+01   2.82167957e+01   1.29026514e+01
  1.26000000e+00   4.10644238e+01   2.82852040e+01   2.81622638e+01   1.27797157e+01
  1.27000000e+00   4.13457752e+01   2.84123881e+01   2.81080138e+01   1.26570977e+01
  1.28000000e+00   4.16265854e+01   2.85383475e+01   2.80540433e+01   1.25347946e+01
